player,role,hero,hero role,cfp,time_in_sec,rating,winrate,tierate,lossrate,fwin,ftie,floss,ptk,ptk_comp_to_avg,kills_per_10,kills_per_10_comp_to_avg,deaths_per_10,deaths_per_10_comp_to_avg,ults_per_10,ults_per_10_comp_to_avg,ttcu,ttcu_comp_to_avg,kpu,kpu_comp_to_avg,ult_eff,ult_eff_comp_to_avg,fights_fought,first_kills,first_kills_comp_to_avg,first_deaths,first_deaths_comp_to_avg,hsk,hsk_comp_to_avg,ult_kills,ult_kills_comp_to_avg,ttcfu,ttcfu_comp_to_avg,tuh,tuh_comp_to_avg,uoof,uoof_comp_to_avg
Wekeed,dps,Tracer,offense,151,1729,1067,0.68,0,0.32,0.424,0.061,0.515,0.282,0.12,10.76,0.21,6.59,0.14,5.9,0.12,77,0.09,0,0,19.1,2.67,33,0.091,-0.31,0.152,0.77,0,0,0,0,76,-0.01,20,-0.17,0,0
Wekeed,dps,Genji,offense,111,2789,1235,0.51,0.19,0.3,0.474,0,0.526,0.304,0.23,10.54,0.22,6.24,0.02,4.52,0.23,75,-0.21,0,0,11.5,0.02,57,0.105,-0.2,0.123,0.34,0,0,0,0,77,-0.19,44,0.4,0,0
HOTBA,Flex,D.Va,tank,148,9924,983,0.5,0,0.5,0.467,0.072,0.462,0.173,-0.04,6.29,0.03,4.47,-0.03,0,-1,NaN,NaN,NaN,NaN,NaN,NaN,195,0.051,-0.32,0.015,-0.56,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
Gesture,tank,Winston,tank,123,31978,1082,0.66,0,0.34,0.521,0.052,0.427,0.186,0.05,7.11,0.16,5.93,-0.04,4,0.21,103,-0.06,0,0,11,0.83,653,0.067,-0.17,0.109,0.11,0,0,0,0,114,0.01,21,-0.32,0.157,0.85
Gesture,tank,Orisa,tank,18,4744,1076,0.7,0,0.3,0.667,0.048,0.286,0.106,0.17,4.05,0.24,5.19,-0.12,3.92,0.48,82,-0.31,0,0,5.6,-0.15,105,0.067,0.56,0.048,-0.31,0,0,0,0,127,0,8,-0.56,0.2,0.92
Gesture,tank,Reinhardt,tank,82,2078,1109,0.62,0,0.38,0.533,0.044,0.422,0.18,0.08,5.77,0.03,6.35,-0.06,3.75,0.08,87,-0.11,0,0,13.3,0.66,45,0.111,0.29,0.133,0.06,0,0,0,0,98,-0.06,46,0.3,0.083,0.89
Profit,dps,Genji,offense,111,10040,1024,0.61,0,0.39,0.449,0.066,0.485,0.267,0.08,10.34,0.19,6.51,0.07,3.82,0.05,104,0.09,0,0,17.3,0.53,198,0.136,0.04,0.096,0.04,0,0,0,0,111,0.16,31,-0.02,0.066,0.78
Profit,dps,Junkrat,defense,26,9372,1196,0.63,0,0.37,0.618,0.04,0.342,0.309,0.05,11.4,0.09,5.19,-0.2,6.27,0.36,62,-0.23,0,0,3.8,-0.45,199,0.206,0.04,0.095,-0.11,0,0,0,0,79,-0.05,13,-0.29,0.227,0.79
Profit,dps,Tracer,offense,151,14695,1222,0.7,0,0.3,0.595,0.046,0.359,0.245,-0.03,10.09,0.14,4.25,-0.27,6.74,0.27,60,-0.15,0,0,4,-0.23,304,0.148,0.13,0.063,-0.27,0,0,0,0,76,-0.02,16,-0.35,0.145,0.84
Hooreg,dps,Pharah,offense,70,1781,951,0.92,0,0.08,0.667,0,0.333,0.225,-0.22,9.1,-0.1,6.74,0.09,4.72,0.31,65,-0.28,0,0,16.7,0.4,36,0.083,-0.49,0.194,1.31,0,0,0,0,73,-0.23,19,-0.42,0.143,1.55
