player,role,hero,hero.role,cfp,time_in_sec,rating,winrate,tierate,lossrate,fwin,ftie,floss,ptk,ptk_comp_to_avg,kills_per_10,kills_per_10_comp_to_avg,deaths_per_10,deaths_per_10_comp_to_avg,ults_per_10,ults_per_10_comp_to_avg,ttcu,ttcu_comp_to_avg,kpu,kpu_comp_to_avg,ult_eff,ult_eff_comp_to_avg,fights_fought,first_kills,first_kills_comp_to_avg,first_deaths,first_deaths_comp_to_avg,hsk,hsk_comp_to_avg,ult_kills,ult_kills_comp_to_avg,ttcfu,ttcfu_comp_to_avg,tuh,tuh_comp_to_avg,uoof,uoof_comp_to_avg,simple_model_role,pred_ri_role,pred_rs_role,pred_rsi_role,simple_model,pred_ri,pred_rs,pred_rsi
Bdosin,Support,Zenyatta,Support,112,28549,1209,0.68,0,0.32,0.563,0.054,0.382,0.137,0.31,5.46,0.47,5.86,-0.06,3.76,0.1,97,-0.05,0,0,3.5,-0.44,591,0.098,0.78,0.083,-0.22,0,0,0,0,101,-0.04,39,0.31,0.089,0.1,1058.5317663066326,1141.1049272647358,1153.9353229972303,1150.5778789363737,1058.5317663066326,1106.3651188832976,1116.5542509910247,1122.1811069736684
Bdosin,Support,Ana,Support,112,1339,1346,0.91,0,0.09,0.786,0,0.214,0.082,0.47,3.58,0.99,4.48,-0.19,2.69,-0.35,93,0.07,0,0,-28.6,-4.86,28,0.071,1.96,0.036,-0.58,0,0,0,0,94,0.12,47,0.55,0.333,5.17,1254.766114557025,1353.5706018955136,1402.185827052699,1387.3081408406035,1254.766114557025,1419.5585784588952,1447.8915212148709,1378.7400708484329
Bdosin,Support,Moira,Support,12,1148,964,0.62,0,0.38,0.5,0,0.5,0.058,-0.34,1.57,-0.46,5.23,-0.08,4.7,-0.13,69,0.06,0,0,16.7,0.84,24,0,0,0.083,-0.13,0,0,0,0,70,0.19,17,0.02,0.111,-0.17,1003.0933629892572,1081.0809922793594,1083.8017725241607,1083.6989260217263,1003.0933629892572,1155.4806374469213,1140.7432038431255,1154.5965181465162
JJoNak,Support,Zenyatta,Support,112,39926,1233,0.63,0.04,0.32,0.54,0.057,0.403,0.143,0.36,5.32,0.43,5.91,-0.05,3.86,0.12,91,-0.11,0,0,1.6,-0.75,792,0.087,0.58,0.093,-0.12,0,0,0,0,96,-0.09,42,0.42,0.089,0.1,1038.2923492225116,1119.1914271907096,1128.3310109197605,1126.1617532691218,1038.2923492225116,1083.8386566054085,1092.1500413670785,1095.8223792365059
JJoNak,Support,Moira,Support,12,1049,1336,0.1,0,0.9,0.571,0.048,0.381,0.107,0.23,5.15,0.77,6.29,0.11,5.15,-0.04,49,-0.25,0,0,-7.1,-1.78,21,0.095,2.52,0.095,0,0,0,0,0,45,-0.24,37,1.22,0.222,0.66,1065.5715635532833,1148.7270142470059,1162.8411706763502,1159.070444385853,1065.5715635532833,1225.0188470873622,1229.004945695777,1221.8954878082848
JJoNak,Support,Ana,Support,112,1543,1381,0.6,0.21,0.19,0.656,0.063,0.281,0.069,0.25,2.72,0.51,3.89,-0.29,7,0.7,66,-0.24,0,0,7.1,-0.04,32,0.063,1.63,0.094,0.11,0,0,0,0,73,-0.13,6,-0.8,0.222,3.11,1140.3694092989488,1229.7116884336253,1257.4658022669996,1249.3039522865686,1140.3694092989488,1292.2350960186511,1294.2881059949382,1271.5918591600275
Altering,Support,Mercy,Support,73,21177,960,0.19,0,0.8,0.32,0.043,0.638,0.009,0.18,0.23,-0.13,5.1,0.02,4.05,0.08,99,0.03,0,0,3.3,-0.27,447,0,0,0.072,0.13,0,0,0,0,92,0.01,20,-0.32,0.049,-0.25,844.6979249396131,909.5840351782833,883.4201997439617,892.6162034084468,844.6979249396131,884.3742803745491,866.3076840096213,889.0643675792787
Altering,Support,Lucio,Support,134,1105,970,0.1,0.41,0.5,0.318,0,0.682,0.024,-0.65,0.54,-0.77,4.34,-0.2,2.71,-0.06,126,0.06,0,0,8.2,0.17,22,0,0,0.045,-0.32,0,0,0,0,136,0.13,25,-0.14,0,0,842.9379756279504,907.6785134327158,881.1937378241817,890.493062046077,842.9379756279504,858.5185490908112,847.5482106269972,867.5315318003272
Altering,Support,Moira,Support,12,2329,1120,0.4,0.01,0.59,0.42,0.06,0.52,0.072,-0.17,2.06,-0.29,5.41,-0.05,6.18,0.15,74,0.14,0,0,16.8,0.85,50,0.04,0.48,0.06,-0.37,0,0,0,0,68,0.15,11,-0.35,0.208,0.55,932.6953905227488,1004.8601224566589,994.7432957329611,998.7732715269353,932.6953905227488,1077.1277251760018,1041.2933538683071,1078.76669317551
Altering,Support,Zenyatta,Support,112,1172,733,0,0,1,0.5,0.036,0.464,0.016,-0.85,0.51,-0.86,6.66,0.07,4.61,0.34,100,-0.01,0,0,-7.1,-2.13,28,0,0,0.036,-0.66,0,0,0,0,95,-0.11,18,-0.4,0.222,1.74,1003.0933629892572,1081.0809922793594,1083.8017725241607,1083.6989260217263,1003.0933629892572,1044.6622004699486,1049.7079376732586,1049.9811136066578
